//item_random.txt
// ランダム取得系のアイテムを設定
// RandomID,ItemID,Rate

//Old_Blue_Box#古く青い箱#
1,969,200	//黄金
2,34021,3	//スターリースカイ・ツインプライム
2,34022,3	//創星石のアミュレット
2,34023,3	//オメガコア
2,34024,3	//マジェスティオブイグドラシル
2,34025,3	//ブラックミスリルガード
2,34026,3	//パワードインカム
2,34027,3	//携帯式サポートシステム
2,34028,3	//改良型パワードスーツ
2,34029,3	//エイスシュピンネ
2,34030,3	//もこふわシャークパジャマ
2,34031,3	//白羊宮のシールド
2,34032,3	//パラケルススコート
2,34033,3	//試験管ブーツ
2,34034,3	//パラケルススグローブ
2,27305,3	//EL-A17Tカード
2,19112,3	//天狗の巻物
2,19313,3	//ニーヴバレッタ
2,27135,3	//皇帝のカード
2,27138,3	//法王のカード
2,27137,3	//恋人のカード
2,27132,3	//戦車のカード
2,27140,3	//力のカード
2,27134,3	//隠者のカード
2,27129,3	//正義のカード
2,27133,3	//死神のカード
2,27131,3	//節制のカード
2,27139,3	//悪魔のカード
2,27130,3	//星のカード
2,27136,3	//月のカード
2,34035,3	//イリュージョンドゥームスレイヤー
2,34036,3	//アムルタート
2,34037,3	//アビスセイバーガーブ
2,34038,3	//魔狩りの靴
2,19497,3	//ファントムオブマスカレード
2,26177,3	//魔導師の記憶
2,2049,3	//青い炎の杖
2,34039,3	//ゲフェニア 氷の魔道具
2,34040,3	//精神拡張リング
2,34041,3	//リングオブパズズ
2,34042,3	//ゲートオブネザーワールド
2,34043,3	//幻獣の耳
2,34044,3	//半龍王女の指輪
2,34045,3	//イリュージョンスタッフオブティアー
2,34046,3	//マジックセレスティアルグローブ
2,34047,3	//覚醒ホワイトリリーローブ
2,34048,3	//森羅万象の指輪
2,32355,3	//エスタル
2,28122,3	//ニーヴバスター
2,19453,3	//ジェジェキャップ
2,34049,3	//背徳の思念体シューズ
2,19105,3	//エクスプロージョンガム
2,34050,3	//シールドオブフェニックス
2,27364,3	//愚者のカード
2,27365,3	//運命の輪のカード
2,27366,3	//吊るされた男のカード
2,4853,3	//Special Str
2,4854,3	//Special Agi
2,4855,3	//Special Vit
2,4856,3	//Special Int
2,4857,3	//Special Dex
2,4858,3	//Special Luk
2,4879,3	//大鷲の眼光
2,29585,3	//アルカナ
2,29371,3	//真理の解放
2,29436,3	//覇王
2,29509,3	//豪傑
2,29725,3	//ゾディアック
2,20852,3	//降霊術士のドレス
2,15387,3	//降霊術士の外套
2,35001,3	//正義のカード(逆位置)
2,35002,3	//星のカード(逆位置)
2,35003,3	//節制のカード(逆位置)
2,35004,3	//戦車のカード(逆位置)
2,35005,3	//死神のカード(逆位置)
2,35006,3	//恋人のカード(逆位置)
2,35007,3	//皇帝のカード(逆位置)
2,35008,3	//力のカード(逆位置)
2,35009,3	//悪魔のカード(逆位置)
2,35010,3	//月のカード(逆位置)
2,35011,3	//運命の輪のカード(逆位置)
2,35012,3	//隠者のカード(逆位置)
2,35013,3	//愚者のカード(逆位置)
2,35014,3	//法王のカード(逆位置)
2,35015,3	//吊るされた男のカード(逆位置)
2,35016,3	//女教皇のカード
2,35017,3	//女教皇のカード(逆位置)
2,36000,3	//Extra Str
2,36001,3	//Extra Agi
2,36002,3	//Extra Vit
2,36003,3	//Extra Int
2,36004,3	//Extra Dex
2,36005,3	//Extra Luk
2,36006,3	//王の神威
2,36007,3	//知識の探求者
2,36008,3	//極限の魔力
2,36009,3	//英雄の凱歌
2,36010,3	//異境の統轄者
2,36011,3	//シンソウの王
2,36012,3	//森羅万象
2,36013,3	//起源の王
2,410244,3	//ワンダラーグリムリーパー
2,420068,3	//ロードオブロイヤルズ
2,420223,3	//コンセクレイト・フィデス・オーリーオラ
2,450286,3	//覚醒信奉者のローブ
2,480245,3	//王冠をつけたシナモンのリュック
2,490119,3	//アルファコア
2,28484,3	//反逆者のスカーフ
2,32303,3	//ボルトリボルバー
2,810012,3	//AR-89
2,28237,3	//メタルダイヤモンドバック
2,490206,3	//ノブレスオブリージュ
2,450125,3	//グレースアーティススーツ
2,450109,3	//グレースガトリングスーツ
2,450100,3	//グレースカルティベイションコート
2,450117,3	//グレースクルシフォームスーツ
2,450086,3	//グレースコンフィデンシャルメイル
2,450112,3	//グレースサイキックローブ
2,450119,3	//グレーススカルローブ
2,450097,3	//グレース天地スーツ
2,450111,3	//グレースパニッシュメントローブ
2,450095,3	//グレースホーリーローブ
2,450098,3	//グレースマグマスーツ
2,450105,3	//グレースメナススーツ
2,450092,3	//グレースレインストームスーツ
2,450106,3	//グレースアニマルローブ
2,19451,3	//ヘヴンリーオーダー
2,28753,3	//アビスダガー
2,13492,3	//アビスブレイド
2,21046,3	//アビスクレイモア
2,32017,3	//アビススピア
2,26021,3	//アビスランス
2,1331,3	//アビスアックス
2,28135,3	//アビスツーハンドアックス
2,16087,3	//アビスメイス
2,28037,3	//アビスカタール
2,28627,3	//アビスブック
2,18177,3	//アビスウィング
2,1861,3	//アビスクロー
2,26149,3	//アビスワンド
2,2053,3	//アビススタッフ
2,32105,3	//アビスバイオリン
2,32106,3	//アビスブレイドウィップ
2,32300,3	//アビスハンドガン
2,28249,3	//アビスライフル
2,28250,3	//アビスガトリングガン
2,28251,3	//アビスショットガン
2,28252,3	//アビスグレネードガン
2,13343,3	//アビス風魔手裏剣
2,26150,3	//アビスフォックステイル
2,27301,3	//迷宮のドッペルゲンガーカード
2,311075,3	//厄災の魔将
2,312305,3	//悠遠なる天上の都
2,300314,3	//理性と記憶の残滓
2,312417,3	//増幅された怨望
2,311073,3	//豊穣の女神
2,311905,3	//氷結耐性
2,29593,3	//凍結耐性
2,4805,3	//大司教1
2,4850,3	//大司教2
2,4804,3	//大聖堂1
2,4803,3	//治癒1
2,32403,3	//ガーディアンアルケミックスタッフ
2,19311,3	//クレータードラクルホーン
2,420381,3	//アトクウェ・ポエニテンティア
2,311365,3	//王家の栄光
2,450368,2	//がおがおタイガーパジャマ
2,19474,3	//時間のサークレット(ドラゴンナイト)
2,19475,3	//時間のサークレット(インペリアルガード)
2,19476,3	//時間のサークレット(マイスター)
2,19477,3	//時間のサークレット(バイオロ)
2,19478,3	//時間のサークレット(シャドウクロス)
2,19479,3	//時間のサークレット(アビスチェイサー)
2,19480,3	//時間のサークレット(カーディナル)
2,19481,3	//時間のサークレット(インクイジター)
2,19482,3	//時間のサークレット(アークメイジ)
2,19483,3	//時間のサークレット(エレメンタルマスター)
2,19484,3	//時間のサークレット(ウィンドホーク)
2,19485,3	//時間のサークレット(トルバドゥール&トルヴェール)
2,19486,3	//時間のサークレット(天帝)
2,19487,3	//時間のサークレット(ソウルアセティック)
2,19488,3	//時間のサークレット(ナイトウォッチ)
2,19489,3	//時間のサークレット(蜃気楼&不知火)
2,19491,3	//時間のサークレット(ハイパーノービス)
2,19492,3	//時間のサークレット(スピリットハンドラー)
2,400768,3	//暴食のクラウン(ドラゴンナイト)
2,400769,3	//暴食のクラウン(インペリアルガード)
2,400770,3	//暴食のクラウン(マイスター)
2,400771,3	//暴食のクラウン(バイオロ)
2,400772,3	//暴食のクラウン(シャドウクロス)
2,400773,3	//暴食のクラウン(アビスチェイサー)
2,400774,3	//暴食のクラウン(カーディナル)
2,400775,3	//暴食のクラウン(インクイジター)
2,400776,3	//暴食のクラウン(アークメイジ)
2,400777,3	//暴食のクラウン(エレメンタルマスター)
2,400778,3	//暴食のクラウン(ウィンドホーク)
2,400779,3	//暴食のクラウン(トルバドゥール&トルヴェール)
2,400780,3	//暴食のクラウン(天帝)
2,400781,3	//暴食のクラウン(ソウルアセティック)
2,400782,3	//暴食のクラウン(ナイトウォッチ)
2,400783,3	//暴食のクラウン(蜃気楼&不知火)
2,400784,3	//暴食のクラウン(ハイパーノービス)
2,400785,3	//暴食のクラウン(スピリットハンドラー)
2,400409,3	//ワイルドビースト
2,450177,3	//グレイウルフスーツ
2,450178,3	//グレイウルフローブ
2,470087,3	//グレイウルフブーツ
2,470088,3	//グレイウルフシューズ
2,480090,3	//グレイウルフマフラー
2,480091,3	//グレイウルフマント
2,490106,3	//グレイウルフペンダント
2,490107,3	//グレイウルフリング
2,490108,3	//グレイウルフイヤリング
2,490109,3	//グレイウルフネックレス
2,400907,1	//セレスティアルダイアデム
2,450462,1	//セレスティアルアーマー
2,450463,1	//セレスティアルスーツ
2,470351,1	//セレスティアルブーツ
2,480592,1	//セレスティアルマント
2,490746,1	//セレスティアルリング　※同名でスロット0のものがあるので注意（このIDはスロット1のもの）
2,610081,1	//セレスティアルカタール
2,620052,1	//セレスティアルツーハンドアックス
2,630056,1	//セレスティアルランス
2,640063,1	//セレスティアルスタッフ
2,700115,1	//セレスティアルボウ
2,810047,1	//セレスティアルライフル
2,500115,1	//セレスティアルソード
2,510181,1	//セレスティアルナイフ
2,530070,1	//セレスティアルスピア
2,540103,1	//セレスティアルブック
2,550173,1	//セレスティアルフォックステイル
2,560076,1	//セレスティアルナックル
2,570082,1	//セレスティアルバイオリン
2,580082,1	//セレスティアルウィップ
2,590097,1	//セレスティアルメイス
2,420507,1	//セレスティアルヴァーチャー
2,550172,1	//セレスティアルワンド
2,500028,1	//ウィワートゥス・フィデス・レイピア
2,510033,1	//ウィワートゥス・フィデス・ダガー
2,520009,1	//ウィワートゥス・フィデス・アックス
2,530014,1	//ウィワートゥス・フィデス・ガーディアンスピア
2,540024,1	//ウィワートゥス・フィデス・マジックブック
2,540045,1	//ウィワートゥス・フィデス・スターダストブック
2,550029,1	//ウィワートゥス・フィデス・ワンド
2,550064,1	//ウィワートゥス・フィデス・ソウルスティック
2,550066,1	//ウィワートゥス・フィデス・フォックステイル
2,560020,1	//ウィワートゥス・フィデス・ナックル
2,570019,1	//ウィワートゥス・フィデス・バイオリン
2,580019,1	//ウィワートゥス・フィデス・チェインロープ
2,590023,1	//ウィワートゥス・フィデス・メイス
2,610023,1	//ウィワートゥス・フィデス・カタール
2,630013,1	//ウィワートゥス・フィデス・ランス
2,640021,1	//ウィワートゥス・フィデス・ツーハンドスタッフ
2,700033,1	//ウィワートゥス・フィデス・クロスボウ
2,700034,1	//ウィワートゥス・フィデス・バリスタ
2,810008,1	//ウィワートゥス・フィデス・ライフル
2,470243,3	//トゥーサイドダイヤモンドブーツ
2,470350,3	//マギアヴィタ
2,450338,3	//スクリーミングゴーストパーティ
2,470306,3	//ホロウアグレッサー
2,410285,3	//偽神のイビルアイ　※同名でスロット0のものがあるので注意（このIDはスロット1のもの）
2,490706,3	//オーバードライブランページエコーズ
2,480502,3	//ステラ・グラーティア
2,470278,3	//デイブレイク・スターゲイザー
2,490132,3	//星座の印章(力)
2,490133,3	//星座の印章(体力)
2,490134,3	//星座の印章(集中)
2,490135,3	//星座の印章(創造)
2,490136,3	//星座の印章(魔力)
2,490137,3	//星座の印章(聡明)
2,312418,3	//祈りの晩鐘　※エンチャ
2,313327,3	//時間の注視者　※エンチャ
2,314097,3	//悪霊の儀式　※エンチャ
2,314098,1	//セレスティアルピース　※エンチャ
2,310478,3	//ウルフオーブ(Str + 7)　※エンチャ
2,310479,3	//ウルフオーブ(Dex + 7)　※エンチャ
2,310480,3	//ウルフオーブ(Agi + 7)　※エンチャ
2,310481,3	//ウルフオーブ(Int + 7)　※エンチャ
2,310482,3	//ウルフオーブ(Vit + 7)　※エンチャ
2,310483,3	//ウルフオーブ(Luk + 7)　※エンチャ
2,310484,3	//ウルフオーブ(Pow + 3)　※エンチャ
2,310485,3	//ウルフオーブ(Con + 3)　※エンチャ
2,310486,3	//ウルフオーブ(Wis + 3)　※エンチャ
2,310487,3	//ウルフオーブ(Spl + 3)　※エンチャ
2,310488,3	//ウルフオーブ(Sta + 3)　※エンチャ
2,310489,3	//ウルフオーブ(Crt + 3)　※エンチャ
2,310496,3	//ウルフオーブ(Def + 300)　※エンチャ
2,310497,3	//ウルフオーブ(Mdef + 30)　※エンチャ
2,310506,3	//ウルフオーブ(Def50%無視)　※エンチャ
2,310507,3	//ウルフオーブ(Mdef50%無視)　※エンチャ
2,310515,3	//ウルフオーブ(スキルディレイ - 15%)　※エンチャ
2,310567,3	//ウルフオーブ(攻撃速度 + 10%)　※エンチャ
2,310568,3	//ウルフオーブ(詠唱時間 - 15%)　※エンチャ
2,310571,3	//ウルフオーブ(完全回避 + 25)　※エンチャ
2,310572,3	//ウルフオーブ(詠唱妨害不可)　※エンチャ
2,310597,3	//ウルフオーブ(物理：ダメージ + 20%)　※エンチャ
2,310598,3	//ウルフオーブ(魔法：ダメージ + 20%)　※エンチャ
2,310600,3	//ウルフオーブ(固定詠唱時間 - 50%)　※エンチャ
2,311420,3	//固定詠唱時間 - 70%　※エンチャ
2,313373,3	//Def100%無視　※エンチャ
2,313372,3	//Mdef100%無視　※エンチャ
2,29438,3	//Z-Knockback　※エンチャ
2,29439,3	//Z-Immortal　※エンチャ
2,29440,3	//Z-Killgain　※エンチャ
2,29441,3	//Z-Reincarnation　※エンチャ
2,29442,3	//Z-NoDispell　※エンチャ
2,29433,3	//Z-Clairvoyance　※エンチャ
2,29434,3	//Z-CastFixed　※エンチャ
2,4876,3	//暴走した魔力　※エンチャ
2,29724,3	//殺意の怨念　※エンチャ
2,311909,3	//不滅なる利益者　※エンチャ
2,310012,3	//死の欲動　※エンチャ
2,29591,3	//剛体　※エンチャ
2,4880,3	//幸運な日　※エンチャ
2,310337,3	//透視　※エンチャ
2,310197,3	//天地崩壊　※エンチャ
2,312395,3	//ウルの加護　※エンチャ
2,312420,3	//再生の炎　※エンチャ
2,300389,3	//黒翼の使徒　※エンチャ
2,312419,3	//百射皆中　※エンチャ
2,312799,3	//聖なる防護　※エンチャ
2,312421,3	//最果ての支配者　※エンチャ
2,300306,3	//不屈　※エンチャ
2,312475,3	//無念無想　※エンチャ
2,313328,3	//星界の暴君　※エンチャ
2,312048,3	//叡知の王冠　※エンチャ
2,312046,3	//根源への到達　※エンチャ
2,312049,3	//蒼穹の覇者　※エンチャ
2,312022,3	//天与の才　※エンチャ
2,312047,3	//不滅の肉体　※エンチャ
2,312045,3	//魔獣の爪牙　※エンチャ
2,312446,3	//魔鉱　※エンチャ
2,310729,3	//星雲の精髄(力3)　※エンチャ
2,310732,3	//星雲の精髄(技巧3)　※エンチャ
2,310735,3	//星雲の精髄(俊敏3)　※エンチャ
2,310738,3	//星雲の精髄(知力3)　※エンチャ
2,310741,3	//星雲の精髄(幸運3)　※エンチャ
2,310744,3	//星雲の精髄(体力3)　※エンチャ
2,490656,3	//レリックランタン
2,490428,3	//ケミカルレジスタントグローブ
2,400722,3	//白い機械植物帽
2,590062,3	//モカダスダワブラント
//■■■※※※↓ここから追加分（スロット変更が必要なもの）※※※■■■
2,450484,3	//グロズヌイ
2,450243,1	//刻印されたルーンアーマー(草原)
2,450234,1	//刻印されたルーンアーマー(火炎)
2,450245,1	//刻印されたルーンアーマー(死屍)
2,450244,1	//刻印されたルーンアーマー(氷河)
2,470173,1	//刻印されたルーンブーツ(火炎)
2,470176,1	//刻印されたルーンブーツ(死屍)
2,470174,1	//刻印されたルーンブーツ(草原)
2,470175,1	//刻印されたルーンブーツ(氷河)
2,480346,1	//神獣のマント：夏
2,480347,1	//神獣のマント：秋
2,480345,1	//神獣のマント：春
2,480348,1	//神獣のマント：冬
2,480350,1	//生命の循環：夏
2,480351,1	//生命の循環：秋
2,480349,1	//生命の循環：春
2,480352,1	//生命の循環：冬
2,480590,3	//グラットンサーベラス
2,460074,3	//グラキエースアラネア
2,490303,3	//刻印されたルーンリング(猛毒)
2,490304,3	//刻印されたルーンリング(聖殿)
2,490302,3	//刻印されたルーンリング(霊魂)
2,490708,3	//コンセクレイト・フィデス・モニーレ
2,490706,3	//オーバードライブランページエコーズ
2,490299,3	//バルムントルーンリング(霊魂)
2,490687,3	//暴食の野牛の角
2,490688,3	//暴食のエキスパートリング
2,490689,3	//暴食のスピリチュアルリング
2,490319,3	//Y.S.F.リング
2,490471,3	//リングオブアルテミス
2,490359,3	//ロードオブエレメンタル
2,490764,3	//アポテオシス
2,28429,3	//アルクイエンのネックレス
2,490410,3	//イントゥジアビス
2,490396,3	//エスタブリッシュ
2,490244,3	//数機卿の指輪
2,28411,3	//エメラルドイヤリング
2,490523,3	//決闘者のゴールドコイン
2,490481,3	//五行封神陣
2,490336,3	//ディメンションリンケージストーン
2,490655,3	//てちてちにゃんこのもこふわソックス
2,490705,3	//ぱかぱかにゃんこのぽかぽかソックス
2,490429,3	//ペタルの尻尾(アルビノ)
2,490501,3	//天涯極地の腕輪
2,490038,3	//知覚増幅リング
2,490524,3	//エレクトロンブースター
2,490453,3	//エレメンタルジュエル
2,490781,3	//きらきらさんごのクリアチャーム
2,490149,3	//きらきらニャンニャンチョーカー
2,490067,3	//ブリリアントアクアマリンネックレス
2,490066,3	//ブリリアントアクアマリンリング
2,490059,3	//ブリリアントアメジストネックレス
2,490058,3	//ブリリアントアメジストリング
2,490060,3	//ブリリアントエメラルドリング
2,490064,3	//ブリリアントサファイアリング
2,490063,3	//ブリリアントジルコンネックレス
2,490062,3	//ブリリアントジルコンリング
2,490056,3	//ブリリアントルビーリング
2,420592,3	//マジェスティックフォックス
2,410438,3	//バリアントデビルズホーン
2,410323,3	//インターディメンショナルリフト
2,410084,3	//プレミアメロンヘッドフォン
2,410175,3	//プリンセスメロンヘッドフォン
2,410260,3	//キングメロンヘッドフォン
2,410177,3	//クイーンメロンヘッドフォン
2,410247,3	//ライトニングサベージ
2,410302,3	//ウィズダムコアヘッドフォン

//Old_Card_Album#古いカード帖#
3,4001,7	//ポリンカード
3,4002,7	//ファブルカード
3,4003,6	//プパカード
3,4004,7	//ドロップスカード
3,4005,1	//サンタポリンカード
3,4006,7	//ルナティックカード
3,4007,4	//ペコペコの卵カード
3,4008,7	//ピッキカード
3,4009,7	//チョンチョンカード
3,4010,7	//ウィローカード
3,4011,7	//すごいピッキカード
3,4012,5	//盗蟲の卵カード
3,4013,5	//アンドレの卵カード
3,4014,5	//ロッダフロッグカード
3,4015,5	//コンドルカード
3,4016,5	//盗蟲カード
3,4017,5	//サベージベベカード
3,4019,5	//ホーネットカード
3,4020,5	//ファミリアーカード
3,4021,5	//ロッカーカード
3,4022,5	//スポアカード
3,4023,5	//子デザートウルフカード
3,4024,5	//プランクトンカード
3,4025,5	//スケルトンカード
3,4026,3	//雌盗蟲カード
3,4027,3	//ククレカード
3,4028,3	//タロウカード
3,4029,3	//ウルフカード
3,4030,3	//マンドラゴラカード
3,4031,3	//ペコペコカード
3,4032,3	//アンバーナイトカード
3,4033,3	//ポポリンカード
3,4034,3	//ワームテールカード
3,4035,3	//ヒドラカード
3,4036,3	//ムカーカード
3,4037,3	//スネイクカード
3,4038,3	//ゾンビカード
3,4039,3	//スタイナーカード
3,4040,3	//クリーミーカード
3,4041,3	//コーコーカード
3,4042,3	//スチールチョンチョンカード
3,4043,3	//アンドレカード
3,4044,3	//スモーキーカード
3,4045,3	//ホルンカード
3,4046,3	//マーティンカード
3,4047,1	//ゴーストリングカード
3,4048,3	//ポイズンスポアカード
3,4049,3	//バドンカード
3,4050,3	//雄盗蟲カード
3,4051,3	//ヨーヨーカード
3,4052,3	//エルダーウィローカード
3,4053,1	//ビタタカード
3,4054,1	//エンジェリングカード
3,4055,3	//マリナカード
3,4056,3	//ダスティネスカード
3,4057,2	//メタルラカード
3,4058,2	//タラフロッグカード
3,4060,2	//ゴブリンカード
3,4061,2	//カナトウスカード
3,4062,2	//アナコンダクカード
3,4063,2	//キャラメルカード
3,4064,2	//ゼロムカード
3,4065,2	//カホカード
3,4066,2	//オークウォリアーカード
3,4067,2	//メガロドンカード
3,4068,2	//スコーピオンカード
3,4069,2	//ドレインリアーカード
3,4070,2	//エギラカード
3,4071,2	//オークゾンビカード
3,4072,2	//ゴーレムカード
3,4073,2	//パイレーツスケルカード
3,4074,2	//ビッグフットカード
3,4075,2	//アルゴスカード
3,4076,2	//白蓮玉カード
3,4077,2	//フェンカード
3,4078,2	//サベージカード
3,4079,2	//マンティスカード
3,4080,2	//フローラカード
3,4081,2	//ホードカード
3,4082,1	//デザートウルフカード
3,4083,1	//ラフレシアカード
3,4084,1	//マリンスフィアーカード
3,4085,1	//オークスケルトンカード
3,4086,1	//ソルジャースケルトンカード
3,4087,1	//ガイアスカード
3,4088,1	//フリルドラカード
3,4089,1	//ソードフィッシュカード
3,4090,1	//ムナックカード
3,4091,1	//コボルドカード
3,4092,1	//スケルワーカーカード
3,4093,1	//オボンヌカード
3,4094,1	//アーチャースケルトンカード
3,4095,1	//マルスカード
3,4096,1	//ゼノークカード
3,4097,1	//マーターカード
3,4098,1	//ドケビカード
3,4099,1	//パサナカード
3,4100,1	//ソヒーカード
3,4101,1	//サンドマンカード
3,4102,1	//ウィスパーカード
3,4103,1	//ホロンカード
3,4104,1	//レクイエムカード
3,4105,1	//マルクカード
3,4106,1	//マミーカード
3,4107,1	//ベリットカード
3,4108,1	//ミストカード
3,4109,1	//ジャックカード
3,4110,1	//グールカード
3,4111,1	//ストラウフカード
3,4112,1	//マルドゥークカード
3,4113,1	//マリオネットカード
3,4114,1	//アルギオペカード
3,4115,1	//ハンターフライカード
3,4116,1	//イシスカード
3,4117,1	//サイドワインダーカード
3,4118,1	//プティットカード
3,4119,1	//バースリーカード
3,4120,1	//プティットカード
3,4122,1	//デビルチカード
3,4125,1	//デビアスカード
3,4127,1	//ナイトメアカード
3,4129,1	//バフォメットジュニアカード
3,4133,1	//レイドリックカード
3,4136,1	//カーリッツバーグカード
3,4139,1	//ジョーカーカード
3,4141,1	//イビルドルイドカード
3,4149,1	//ガーゴイルカード
3,4150,1	//ゴートカード
3,4151,1	//ガジョマートカード
3,4152,1	//ガラパゴカード
3,4153,1	//カニカード
3,4154,1	//団子童子カード
3,4156,1	//ゴブリンライダーカード
3,4157,1	//ゴブリンアーチャーカード
3,4158,1	//スカイデリーターカード
3,4159,1	//九尾狐カード
3,4160,1	//銃奇兵カード
3,4161,1	//グランペコカード
3,4162,1	//グリズリーカード
3,4164,1	//グリンブルスティカード
3,4165,1	//ギグカード
3,4166,1	//ナイトメアテラーカード
3,4167,1	//ネレイドカード
3,4170,1	//ダークフレームカード
3,4172,1	//一反木綿カード
3,4173,1	//デーモンパンクカード
3,4175,1	//大口蛙カード
3,4176,1	//デュラハンカード
3,4177,1	//ドリアードカード
3,4178,1	//ドラゴンテイルカード
3,4180,1	//ドリラーカード
3,4181,1	//ディスガイズカード
3,4182,1	//ディアボリックカード
3,4184,1	//ラーヴァゴーレムカード
3,4185,1	//ライドワードカード
3,4186,1	//レグルロカード
3,4187,1	//レイドリックアーチャーカード
3,4188,1	//レイブオルマイカード
3,4189,1	//デッドリーレイスカード
3,4190,1	//レイスカード
3,4191,1	//ロリルリカード
3,4192,1	//ロータージャイロカード
3,4193,1	//ルードカード
3,4194,1	//リビオカード
3,4195,1	//リーフキャットカード
