// 0:í èÌBase~99,1:ì]ê∂Base~99,2:í èÌBase~200,3:ì]ê∂Base~200,4:í èÌBase200~,5:ì]ê∂Base200~,6:Job-NV,7:Job-1éüêE,8:Job-2éüêE,9:Job-SNV,10:Job-ì]ê∂NV,11:Job-ì]ê∂1éüêE,12:Jobì]ê∂2éüêE,13:Job-SG,14:Job-GS/NJ,15:Job-3éüêE,16-Job-SU,17:Job-4éüêE
3611,4931,3611,4931,3611,4931,0,9506,36249,9590,0,18369,26293,107016,10993,19246477,73652799,1867936878880
3972,5424,3972,5424,3972,5424,0,10314,39310,10898,0,20900,28169,117899,11690,21816192,103482182,2988699006207
4369,5966,4369,5966,4369,5966,0,11247,42834,12521,0,24061,30264,130993,12452,24989738,145392466,4781918409932
5242,7159,5242,7159,5242,7159,0,26209,78951,25121,0,46111,39900,250426,17018,46244608,204276415,4829737594031
5766,7874,5766,7874,5766,7874,0,27640,83919,28004,0,52028,42530,271482,17922,51543641,287008363,4878034969972
6342,8661,6342,8661,6342,8661,0,29569,90331,32147,0,60701,45695,300500,18968,58968161,403246751,4926815319671
6976,9527,6976,9527,6976,9527,0,32246,98548,36920,0,70476,49341,335489,20242,67455424,566561685,4976083472868
7673,10479,7673,10479,7673,10479,0,35421,108209,42953,0,83007,53522,378440,21658,78068174,796019167,5025844307597
9207,12574,9207,12574,9207,12574,0,0,0,86000,0,0,76648,0,31246,109950479,0,5076102750668
10127,13831,10127,13831,10127,13831,0,0,0,87250,0,0,82274,0,32992,124105707,0,5126863778174
11139,15214,11139,15214,11139,15214,0,0,0,88500,0,0,89345,0,35068,141803413,0,5178132415955
12252,16735,12252,16735,12252,16735,0,0,0,89750,0,0,97572,0,37623,161095234,0,5229913740114
13477,18408,13477,18408,13477,18408,0,0,0,91000,0,0,107244,0,40508,183929533,0,5282212877515
16172,22089,16172,22089,16172,22089,0,0,0,92250,0,0,167371,0,61601,239723566,0,0
17789,24297,17789,24297,17789,24297,0,0,0,93500,0,0,181337,0,65297,269532119,0,0
19567,26726,19567,26726,19567,26726,0,0,0,94750,0,0,199597,0,69804,306314926,0,0
21523,29398,21523,29398,21523,29398,0,0,0,96000,0,0,220863,0,75365,345887434,0,0
23675,32337,23675,32337,23675,32337,0,0,0,97250,0,0,246423,0,81737,392434196,0,0
28410,38804,28410,38804,28410,38804,0,0,0,98500,0,0,414778,0,130250,875621083,0,0
31251,42684,31251,42684,31251,42684,0,0,0,99750,0,0,454367,0,138731,1313431624,0,0
34376,46952,34376,46952,34376,46952,0,0,0,101000,0,0,507985,0,149321,2495520085,0,0
37813,51647,37813,51647,37813,51647,0,0,0,102250,0,0,570020,0,162336,5739696195,0,0
41594,56811,41594,56811,41594,56811,0,0,0,103500,0,0,646084,0,177460,15497179726,0,0
49912,68173,49912,68173,49912,68173,0,0,0,104750,0,0,1151149,0,293891,22780854197,0,0
54903,74990,54903,74990,54903,74990,0,0,0,106000,0,0,1277719,0,314836,33487855669,0,0
60393,82489,60393,82489,60393,82489,0,0,0,107250,0,0,1454795,0,341602,49227147833,0,0
66432,90737,66432,90737,66432,90737,0,0,0,108500,0,0,1657124,0,374189,72363907314,0,0
73075,99810,73075,99810,73075,99810,0,0,0,109750,0,0,1909959,0,412597,106374943751,0,0
87690,119772,87690,119772,87690,119772,0,0,0,111000,0,0,0,0,0,0,0,0
96459,131749,96459,131749,96459,131749,0,0,0,112250,0,0,0,0,0,0,0,0
106104,144923,106104,144923,106104,144923,0,0,0,113500,0,0,0,0,0,0,0,0
116714,159415,116714,159415,116714,159415,0,0,0,114750,0,0,0,0,0,0,0,0
128385,175356,128385,175356,128385,175356,0,0,0,116000,0,0,0,0,0,0,0,0
154062,210427,154062,210427,154062,210427,0,0,0,117250,0,0,0,0,0,0,0,0
169468,231469,169468,231469,169468,231469,0,0,0,118500,0,0,0,0,0,0,0,0
186414,254615,186414,254615,186414,254615,0,0,0,119750,0,0,0,0,0,0,0,0
205055,280076,205055,280076,205055,280076,0,0,0,121000,0,0,0,0,0,0,0,0
225560,308083,225560,308083,225560,308083,0,0,0,122250,0,0,0,0,0,0,0,0
270672,369699,270672,369699,270672,369699,0,0,0,123500,0,0,0,0,0,0,0,0
297739,406668,297739,406668,297739,406668,0,0,0,124750,0,0,0,0,0,0,0,0
327512,447334,327512,447334,327512,447334,0,0,0,126000,0,0,0,0,0,0,0,0
360263,492067,360263,492067,360263,492067,0,0,0,127250,0,0,0,0,0,0,0,0
396289,541273,396289,541273,396289,541273,0,0,0,128500,0,0,0,0,0,0,0,0
475546,649527,475546,649527,475546,649527,0,0,0,129750,0,0,0,0,0,0,0,0
523100,714479,523100,714479,523100,714479,0,0,0,131000,0,0,0,0,0,0,0,0
575410,785926,575410,785926,575410,785926,0,0,0,132250,0,0,0,0,0,0,0,0
632951,864518,632951,864518,632951,864518,0,0,0,133500,0,0,0,0,0,0,0,0
696246,950969,696246,950969,696246,950969,0,0,0,134750,0,0,0,0,0,0,0,0
835495,1141162,835495,1141162,835495,1141162,0,0,0,136000,0,0,0,0,0,0,0,0
919044,1255278,919044,1255278,919044,1255278,0,0,0,137250,0,0,0,0,0,0,0,0
1010948,1380805,1010948,1380805,1010948,1380805,0,0,0,138500,0,0,0,0,0,0,0,0
1112042,1518885,1112042,1518885,1112042,1518885,0,0,0,139750,0,0,0,0,0,0,0,0
1223246,1670773,1223246,1670773,1223246,1670773,0,0,0,141000,0,0,0,0,0,0,0,0
1467895,2004927,1467895,2004927,1467895,2004927,0,0,0,142250,0,0,0,0,0,0,0,0
1614684,2205419,1614684,2205419,1614684,2205419,0,0,0,143500,0,0,0,0,0,0,0,0
1776152,2425960,1776152,2425960,1776152,2425960,0,0,0,144750,0,0,0,0,0,0,0,0
1953767,2668556,1953767,2668556,1953767,2668556,0,0,0,146000,0,0,0,0,0,0,0,0
0,0,2935411,2935411,2935411,2935411,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3493139,3493139,3493139,3493139,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3807521,3807521,3807521,3807521,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4150197,4150197,4150197,4150197,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4523714,4523714,4523714,4523714,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4930848,4930848,4930848,4930848,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5818400,5818400,5818400,5818400,0,0,0,0,0,0,0,0,0,0,0,0
0,0,6283872,6283872,6283872,6283872,0,0,0,0,0,0,0,0,0,0,0,0
0,0,6786581,6786581,6786581,6786581,0,0,0,0,0,0,0,0,0,0,0,0
0,0,7329507,7329507,7329507,7329507,0,0,0,0,0,0,0,0,0,0,0,0
0,0,7915867,7915867,7915867,7915867,0,0,0,0,0,0,0,0,0,0,0,0
0,0,9261564,9261564,9261564,9261564,0,0,0,0,0,0,0,0,0,0,0,0
0,0,9909873,9909873,9909873,9909873,0,0,0,0,0,0,0,0,0,0,0,0
0,0,10603564,10603564,10603564,10603564,0,0,0,0,0,0,0,0,0,0,0,0
0,0,11345813,11345813,11345813,11345813,0,0,0,0,0,0,0,0,0,0,0,0
0,0,12140019,12140019,12140019,12140019,0,0,0,0,0,0,0,0,0,0,0,0
0,0,14082422,14082422,14082422,14082422,0,0,0,0,0,0,0,0,0,0,0,0
0,0,14927367,14927367,14927367,14927367,0,0,0,0,0,0,0,0,0,0,0,0
0,0,15823009,15823009,15823009,15823009,0,0,0,0,0,0,0,0,0,0,0,0
0,0,16772389,16772389,16772389,16772389,0,0,0,0,0,0,0,0,0,0,0,0
0,0,17778732,17778732,17778732,17778732,0,0,0,0,0,0,0,0,0,0,0,0
0,0,20445541,20445541,20445541,20445541,0,0,0,0,0,0,0,0,0,0,0,0
0,0,21467818,21467818,21467818,21467818,0,0,0,0,0,0,0,0,0,0,0,0
0,0,22541208,22541208,22541208,22541208,0,0,0,0,0,0,0,0,0,0,0,0
0,0,23668268,23668268,23668268,23668268,0,0,0,0,0,0,0,0,0,0,0,0
0,0,24851681,24851681,24851681,24851681,0,0,0,0,0,0,0,0,0,0,0,0
0,0,28330916,28330916,28330916,28330916,0,0,0,0,0,0,0,0,0,0,0,0
0,0,29747461,29747461,29747461,29747461,0,0,0,0,0,0,0,0,0,0,0,0
0,0,31234834,31234834,31234834,31234834,0,0,0,0,0,0,0,0,0,0,0,0
0,0,32796575,32796575,32796575,32796575,0,0,0,0,0,0,0,0,0,0,0,0
0,0,34436403,34436403,34436403,34436403,0,0,0,0,0,0,0,0,0,0,0,0
0,0,38913135,38913135,38913135,38913135,0,0,0,0,0,0,0,0,0,0,0,0
0,0,40858791,40858791,40858791,40858791,0,0,0,0,0,0,0,0,0,0,0,0
0,0,42901730,42901730,42901730,42901730,0,0,0,0,0,0,0,0,0,0,0,0
0,0,45046816,45046816,45046816,45046816,0,0,0,0,0,0,0,0,0,0,0,0
0,0,47299156,47299156,47299156,47299156,0,0,0,0,0,0,0,0,0,0,0,0
0,0,52975054,52975054,52975054,52975054,0,0,0,0,0,0,0,0,0,0,0,0
0,0,55623806,55623806,55623806,55623806,0,0,0,0,0,0,0,0,0,0,0,0
0,0,58404996,58404996,58404996,58404996,0,0,0,0,0,0,0,0,0,0,0,0
0,0,61325245,61325245,61325245,61325245,0,0,0,0,0,0,0,0,0,0,0,0
0,0,64391507,64391507,64391507,64391507,0,0,0,0,0,0,0,0,0,0,0,0
0,0,71474572,71474572,71474572,71474572,0,0,0,0,0,0,0,0,0,0,0,0
0,0,75048300,75048300,75048300,75048300,0,0,0,0,0,0,0,0,0,0,0,0
0,0,78800715,78800715,78800715,78800715,0,0,0,0,0,0,0,0,0,0,0,0
0,0,82740750,82740750,82740750,82740750,0,0,0,0,0,0,0,0,0,0,0,0
0,0,86877787,86877787,86877787,86877787,0,0,0,0,0,0,0,0,0,0,0,0
0,0,95565565,95565565,95565565,95565565,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100343843,100343843,100343843,100343843,0,0,0,0,0,0,0,0,0,0,0,0
0,0,105361035,105361035,105361035,105361035,0,0,0,0,0,0,0,0,0,0,0,0
0,0,110629086,110629086,110629086,110629086,0,0,0,0,0,0,0,0,0,0,0,0
0,0,116160540,116160540,116160540,116160540,0,0,0,0,0,0,0,0,0,0,0,0
0,0,126614988,126614988,126614988,126614988,0,0,0,0,0,0,0,0,0,0,0,0
0,0,131679587,131679587,131679587,131679587,0,0,0,0,0,0,0,0,0,0,0,0
0,0,136946770,136946770,136946770,136946770,0,0,0,0,0,0,0,0,0,0,0,0
0,0,142424640,142424640,142424640,142424640,0,0,0,0,0,0,0,0,0,0,0,0
0,0,148121625,148121625,148121625,148121625,0,0,0,0,0,0,0,0,0,0,0,0
0,0,161452571,161452571,161452571,161452571,0,0,0,0,0,0,0,0,0,0,0,0
0,0,167910673,167910673,167910673,167910673,0,0,0,0,0,0,0,0,0,0,0,0
0,0,174627099,174627099,174627099,174627099,0,0,0,0,0,0,0,0,0,0,0,0
0,0,181612182,181612182,181612182,181612182,0,0,0,0,0,0,0,0,0,0,0,0
0,0,188876669,188876669,188876669,188876669,0,0,0,0,0,0,0,0,0,0,0,0
0,0,205875569,205875569,205875569,205875569,0,0,0,0,0,0,0,0,0,0,0,0
0,0,214110591,214110591,214110591,214110591,0,0,0,0,0,0,0,0,0,0,0,0
0,0,222675014,222675014,222675014,222675014,0,0,0,0,0,0,0,0,0,0,0,0
0,0,231582014,231582014,231582014,231582014,0,0,0,0,0,0,0,0,0,0,0,0
0,0,240845294,240845294,240845294,240845294,0,0,0,0,0,0,0,0,0,0,0,0
0,0,289014352,289014352,289014352,289014352,0,0,0,0,0,0,0,0,0,0,0,0
0,0,346817222,346817222,346817222,346817222,0,0,0,0,0,0,0,0,0,0,0,0
0,0,416180666,416180666,416180666,416180666,0,0,0,0,0,0,0,0,0,0,0,0
0,0,499416799,499416799,499416799,499416799,0,0,0,0,0,0,0,0,0,0,0,0
0,0,599300158,599300158,599300158,599300158,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1198600316,1198600316,1198600316,1198600316,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1438320379,1438320379,1438320379,1438320379,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1725984454,1725984454,1725984454,1725984454,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2071181344,2071181344,2071181344,2071181344,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3106772016,3106772016,3106772016,3106772016,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3728126419,3728126419,3728126419,3728126419,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4473751702,4473751702,4473751702,4473751702,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5368502042,5368502042,5368502042,5368502042,0,0,0,0,0,0,0,0,0,0,0,0
0,0,6442202450,6442202450,6442202450,6442202450,0,0,0,0,0,0,0,0,0,0,0,0
0,0,9663303675,9663303675,9663303675,9663303675,0,0,0,0,0,0,0,0,0,0,0,0
0,0,19326607350,19326607350,19326607350,19326607350,0,0,0,0,0,0,0,0,0,0,0,0
0,0,21259268085,21259268085,21259268085,21259268085,0,0,0,0,0,0,0,0,0,0,0,0
0,0,23385194893,23385194893,23385194893,23385194893,0,0,0,0,0,0,0,0,0,0,0,0
0,0,25723714382,25723714382,25723714382,25723714382,0,0,0,0,0,0,0,0,0,0,0,0
0,0,28296085820,28296085820,28296085820,28296085820,0,0,0,0,0,0,0,0,0,0,0,0
0,0,31125694402,31125694402,31125694402,31125694402,0,0,0,0,0,0,0,0,0,0,0,0
0,0,34238263842,34238263842,34238263842,34238263842,0,0,0,0,0,0,0,0,0,0,0,0
0,0,37662090226,37662090226,37662090226,37662090226,0,0,0,0,0,0,0,0,0,0,0,0
0,0,41428299248,41428299248,41428299248,41428299248,0,0,0,0,0,0,0,0,0,0,0,0
0,0,45571129172,45571129172,45571129172,45571129172,0,0,0,0,0,0,0,0,0,0,0,0
0,0,50128242089,50128242089,50128242089,50128242089,0,0,0,0,0,0,0,0,0,0,0,0
0,0,55141066297,55141066297,55141066297,55141066297,0,0,0,0,0,0,0,0,0,0,0,0
0,0,60655172926,60655172926,60655172926,60655172926,0,0,0,0,0,0,0,0,0,0,0,0
0,0,66720690218,66720690218,66720690218,66720690218,0,0,0,0,0,0,0,0,0,0,0,0
0,0,73392759239,73392759239,73392759239,73392759239,0,0,0,0,0,0,0,0,0,0,0,0
0,0,80732035162,80732035162,80732035162,80732035162,0,0,0,0,0,0,0,0,0,0,0,0
0,0,88805238678,88805238678,88805238678,88805238678,0,0,0,0,0,0,0,0,0,0,0,0
0,0,97685762545,97685762545,97685762545,97685762545,0,0,0,0,0,0,0,0,0,0,0,0
0,0,107454338799,107454338799,107454338799,107454338799,0,0,0,0,0,0,0,0,0,0,0,0
0,0,118199772678,118199772678,118199772678,118199772678,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,130019749945,130019749945,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,143021724939,143021724939,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,157323897432,157323897432,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,173056287175,173056287175,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,190361915892,190361915892,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,209398107481,209398107481,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,230337918229,230337918229,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,253371710051,253371710051,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,278708881056,278708881056,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,306579769161,306579769161,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,337237746077,337237746077,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,370961520684,370961520684,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,408057672752,408057672752,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,448863440027,448863440027,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,493749784029,493749784029,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,543124762431,543124762431,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,597437238674,597437238674,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,657180962541,657180962541,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,722899058795,722899058795,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,795188964674,795188964674,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,803140854320,803140854320,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,811172262863,811172262863,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,819283985491,819283985491,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,827476825345,827476825345,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,835751593598,835751593598,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,844109109533,844109109533,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,852550200628,852550200628,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,861075702634,861075702634,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,869686459660,869686459660,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,878383324256,878383324256,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,904734823983,904734823983,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,931876868702,931876868702,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,959833174763,959833174763,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,988628170005,988628170005,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1018287015105,1018287015105,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1048835625558,1048835625558,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1080300694324,1080300694324,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1112709715153,1112709715153,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1146091006607,1146091006607,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1180473736805,1180473736805,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1215887948909,1215887948909,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1252364587376,1252364587376,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1289935524997,1289935524997,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1328633590746,1328633590746,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1368492598468,1368492598468,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1409547376422,1409547376422,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1451833797714,1451833797714,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1495388811645,1495388811645,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1540250475994,1540250475994,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1586457990273,1586457990273,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1649916309883,1649916309883,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1715912962278,1715912962278,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1784549480769,1784549480769,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1855931459999,1855931459999,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1930168718398,1930168718398,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2007375467133,2007375467133,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2087670485818,2087670485818,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2171177305250,2171177305250,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2258024397460,2258024397460,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2348345373358,2348345373358,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2348345373358,2348345373358,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2348345373358,2348345373358,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2348345373358,2348345373358,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2348345373358,2348345373358,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2348345373358,2348345373358,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2348345373358,2348345373358,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2348345373358,2348345373358,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2348345373358,2348345373358,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2348345373358,2348345373358,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2348345373358,2348345373358,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2348345373358,2348345373358,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2348345373358,2348345373358,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2348345373358,2348345373358,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2348345373358,2348345373358,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2348345373358,2348345373358,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2395312280825,2395312280825,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2443218526442,2443218526442,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2492082896971,2492082896971,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2541924554910,2541924554910,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2592763046008,2592763046008,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2644618306928,2644618306928,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2697510673067,2697510673067,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2751460886528,2751460886528,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2806490104259,2806490104259,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2862619906344,2862619906344,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2919872304471,2919872304471,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2978269750560,2978269750560,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3037835145571,3037835145571,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3098591848483,3098591848483,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3160563685452,3160563685452,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3223774959162,3223774959162,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3288250458345,3288250458345,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3354015467512,3354015467512,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3421095776862,3421095776862,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3489517692399,3489517692399,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3559308046247,3559308046247,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3630494207172,3630494207172,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3703104091316,3703104091316,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3777166173142,3777166173142,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3852709496605,3852709496605,0,0,0,0,0,0,0,0,0,0,0,0
