LanguageType	Japanese
Emotion_66 国旗(ロシア)
Emotion_67 イベント旗
Emotion_68 /e21(電話)
Emotion_69 /e22(メール)
Emotion_70 /e23(圏外)
Emotion_71 /e24(アンテナ1本)
Emotion_72 /e25(アンテナ2本)
Emotion_73 /e26(アンテナ3本)
Emotion_74 /e27(-_-lll)
Emotion_75 /e28(魂が抜ける)
Emotion_76 /e29(ぷぷぷ)
Emotion_77 /e30(げー)
Emotion_78 /e31(気が抜ける)
Emotion_79 /e32(口から魂)
Emotion_80 /e33(ウィスパー)

Mode_0	移動
Mode_1	ルート
Mode_2	追跡
Mode_3	リンク
Mode_4	詠唱反応
Mode_5	Boss属性
Mode_6	草属性
Mode_7	攻撃(アクティブ)
Mode_8	接触反応
Mode_9	攻撃中タゲ可変
Mode_10	追跡中タゲ可変
Mode_11	強敵に非アクティブ
Mode_12	ハイパーアクティブ
